GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	OBSERVATION COUNT	BREEDING BIRD ATLAS CODE	BREEDING BIRD ATLAS CATEGORY	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS812700635	2019-10-04 15:01:19	30472	species	Western Yellow Wagtail	Motacilla flava			15				Turkey	TR	Düzce	TR-81							Mamure köyü - İstilli	L7099636	P	40.8372556	31.1020803	2019-09-29	15:30:00	obsr883055	S60343510	Traveling	P22	EBIRD	150	0.000		1	1		1	1	0		Melen çayı kıyısı boyunca		
URN:CornellLabOfOrnithology:EBIRD:OBS805843775	2019-09-15 16:02:38	9777	species	European Bee-eater	Merops apiaster			4				Turkey	TR	Düzce	TR-81							Melen Çayı - Akınlar Mahallesi	L5927648	P	40.8600445	31.1283445	2019-09-15	15:30:00	obsr883055	S59830731	Traveling	P22	EBIRD	30	1.000		1	1		1	1	0		akınlar mah. melen kıyısı - çalılık alan, bir tane leylek leşi vardı,		
URN:CornellLabOfOrnithology:EBIRD:OBS805843778	2019-09-15 16:02:38	1968	species	Eurasian Collared-Dove	Streptopelia decaocto			4				Turkey	TR	Düzce	TR-81							Melen Çayı - Akınlar Mahallesi	L5927648	P	40.8600445	31.1283445	2019-09-15	15:30:00	obsr883055	S59830731	Traveling	P22	EBIRD	30	1.000		1	1		0	1	0		akınlar mah. melen kıyısı - çalılık alan, bir tane leylek leşi vardı,		
URN:CornellLabOfOrnithology:EBIRD:OBS808923279	2019-09-23 16:00:33	23131	species	Eurasian Crag-Martin	Ptyonoprogne rupestris			12				Turkey	TR	Düzce	TR-81							Hasanlar barajı	L6164535	P	40.9156530	31.2778616	2019-09-22	16:00:00	obsr883055	S60059314	Traveling	P22	EBIRD	150	2.000		1	1		1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS812700630	2019-10-04 15:01:19	31322	species	European Goldfinch	Carduelis carduelis			8				Turkey	TR	Düzce	TR-81							Mamure köyü - İstilli	L7099636	P	40.8372556	31.1020803	2019-09-29	15:30:00	obsr883055	S60343510	Traveling	P22	EBIRD	150	0.000		1	1		1	1	0		Melen çayı kıyısı boyunca		
URN:CornellLabOfOrnithology:EBIRD:OBS808923274	2019-09-23 16:00:33	31322	species	European Goldfinch	Carduelis carduelis			12				Turkey	TR	Düzce	TR-81							Hasanlar barajı	L6164535	P	40.9156530	31.2778616	2019-09-22	16:00:00	obsr883055	S60059314	Traveling	P22	EBIRD	150	2.000		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS805843777	2019-09-15 16:02:38	31109	species	European Greenfinch	Chloris chloris			16				Turkey	TR	Düzce	TR-81							Melen Çayı - Akınlar Mahallesi	L5927648	P	40.8600445	31.1283445	2019-09-15	15:30:00	obsr883055	S59830731	Traveling	P22	EBIRD	30	1.000		1	1		0	1	0		akınlar mah. melen kıyısı - çalılık alan, bir tane leylek leşi vardı,		
URN:CornellLabOfOrnithology:EBIRD:OBS812700622	2019-10-04 15:01:19	20595	species	Eurasian Jackdaw	Corvus monedula			20				Turkey	TR	Düzce	TR-81							Mamure köyü - İstilli	L7099636	P	40.8372556	31.1020803	2019-09-29	15:30:00	obsr883055	S60343510	Traveling	P22	EBIRD	150	0.000		1	1		0	1	0		Melen çayı kıyısı boyunca		
URN:CornellLabOfOrnithology:EBIRD:OBS805843774	2019-09-15 16:02:38	20595	species	Eurasian Jackdaw	Corvus monedula			10				Turkey	TR	Düzce	TR-81							Melen Çayı - Akınlar Mahallesi	L5927648	P	40.8600445	31.1283445	2019-09-15	15:30:00	obsr883055	S59830731	Traveling	P22	EBIRD	30	1.000		1	1		0	1	0		akınlar mah. melen kıyısı - çalılık alan, bir tane leylek leşi vardı,		
URN:CornellLabOfOrnithology:EBIRD:OBS808923282	2019-09-23 16:00:33	20422	species	Eurasian Jay	Garrulus glandarius			2				Turkey	TR	Düzce	TR-81							Hasanlar barajı	L6164535	P	40.9156530	31.2778616	2019-09-22	16:00:00	obsr883055	S60059314	Traveling	P22	EBIRD	150	2.000		1	1		0	1	0				
