GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	OBSERVATION COUNT	BREEDING BIRD ATLAS CODE	BREEDING BIRD ATLAS CATEGORY	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS954478302	2020-07-10 19:09:33	20580	species	Red-billed Chough	Pyrrhocorax pyrrhocorax			8				Turkey	TR	Adana	TR-01							Şekerpınarı	L11869920	P	37.4709931	34.8657566	1977-04-08		obsr356736	S71330861	Incidental	P20	EBIRD					0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS381621342	2020-03-16 14:23:30	5815	species	Slender-billed Curlew	Numenius tenuirostris			1				Turkey	TR	Adana	TR-01							Akyatan Gölü - Genel	L2389407	H	36.6256450	35.2708054	1982-01-05		obsr727034	S28193128	Historical	P62	EBIRD_TUR				1	0		0	1	1		Historic Slender-billed Curlew data from SBC database.. Start time (00:00) and no duration listed; start time deleted.	Verified	
URN:CornellLabOfOrnithology:EBIRD:OBS545711829	2017-10-30 23:29:35	24270	species	Barred Warbler	Sylvia nisoria			2				Turkey	TR	Adana	TR-01							Adana-Tuscu road	L6427983	P	37.0025778	35.5583239	1983-05-09		obsr178480	S40223352	Historical	P62	EBIRD				8	0		0	1	0		several stops , rocky ravine , olive orchards		
URN:CornellLabOfOrnithology:EBIRD:OBS545711824	2017-10-30 23:29:35	21706	species	Bimaculated Lark	Melanocorypha bimaculata			1				Turkey	TR	Adana	TR-01							Adana-Tuscu road	L6427983	P	37.0025778	35.5583239	1983-05-09		obsr178480	S40223352	Historical	P62	EBIRD				8	0		0	1	0		several stops , rocky ravine , olive orchards		
URN:CornellLabOfOrnithology:EBIRD:OBS340866677	2017-01-25 06:50:07	28653	issf	Black-eared Wheatear	Oenanthe hispanica	Black-eared Wheatear (Eastern)	Oenanthe hispanica melanoleuca	2				Turkey	TR	Adana	TR-01							Pozanti (area)	L3891943	P	37.4193221	34.8875999	1983-05-29	07:30:00	obsr358384	S24928281	Traveling	P22	EBIRD	600	10.000		1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS545873552	2017-10-31 18:37:46	1244	species	Caspian Snowcock	Tetraogallus caspius			1				Turkey	TR	Adana	TR-01							Taurus Mountains	L6429687	P	37.5395662	34.9875498	1983-05-14		obsr178480	S40235892	Historical	P62	EBIRD				8	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS545873555	2017-10-31 18:37:46	1214	species	Chukar	Alectoris chukar			4				Turkey	TR	Adana	TR-01							Taurus Mountains	L6429687	P	37.5395662	34.9875498	1983-05-14		obsr178480	S40235892	Historical	P62	EBIRD				8	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS545711828	2017-10-30 23:29:35	31499	issf	Cinereous Bunting	Emberiza cineracea	Cinereous Bunting (Gray-bellied)	Emberiza cineracea cineracea	3				Turkey	TR	Adana	TR-01							Adana-Tuscu road	L6427983	P	37.0025778	35.5583239	1983-05-09		obsr178480	S40223352	Historical	P62	EBIRD				8	0		0	1	0		several stops , rocky ravine , olive orchards		
URN:CornellLabOfOrnithology:EBIRD:OBS340866682	2017-01-25 06:50:07	21019	species	Coal Tit	Periparus ater			2				Turkey	TR	Adana	TR-01							Pozanti (area)	L3891943	P	37.4193221	34.8875999	1983-05-29	07:30:00	obsr358384	S24928281	Traveling	P22	EBIRD	600	10.000		1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS340866692	2017-01-25 06:50:07	22660	species	Eastern Olivaceous Warbler	Iduna pallida			1				Turkey	TR	Adana	TR-01							Pozanti (area)	L3891943	P	37.4193221	34.8875999	1983-05-29	07:30:00	obsr358384	S24928281	Traveling	P22	EBIRD	600	10.000		1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS340866691	2017-01-25 06:50:07	24316	species	Eastern Orphean Warbler	Sylvia crassirostris			2				Turkey	TR	Adana	TR-01							Pozanti (area)	L3891943	P	37.4193221	34.8875999	1983-05-29	07:30:00	obsr358384	S24928281	Traveling	P22	EBIRD	600	10.000		1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS340866686	2017-01-25 06:50:07	27357	species	Eurasian Blackbird	Turdus merula			X				Turkey	TR	Adana	TR-01							Pozanti (area)	L3891943	P	37.4193221	34.8875999	1983-05-29	07:30:00	obsr358384	S24928281	Traveling	P22	EBIRD	600	10.000		1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS340866684	2017-01-25 06:50:07	31322	species	European Goldfinch	Carduelis carduelis			X				Turkey	TR	Adana	TR-01							Pozanti (area)	L3891943	P	37.4193221	34.8875999	1983-05-29	07:30:00	obsr358384	S24928281	Traveling	P22	EBIRD	600	10.000		1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS340866688	2017-01-25 06:50:07	31109	species	European Greenfinch	Chloris chloris			X				Turkey	TR	Adana	TR-01							Pozanti (area)	L3891943	P	37.4193221	34.8875999	1983-05-29	07:30:00	obsr358384	S24928281	Traveling	P22	EBIRD	600	10.000		1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS545873553	2017-10-31 18:37:46	7462	species	Eurasian Griffon	Gyps fulvus			5				Turkey	TR	Adana	TR-01							Taurus Mountains	L6429687	P	37.5395662	34.9875498	1983-05-14		obsr178480	S40235892	Historical	P62	EBIRD				8	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS340866693	2017-01-25 06:50:07	20438	issf	Eurasian Jay	Garrulus glandarius	Eurasian Jay (Black-capped)	Garrulus glandarius [atricapillus Group]	1				Turkey	TR	Adana	TR-01							Pozanti (area)	L3891943	P	37.4193221	34.8875999	1983-05-29	07:30:00	obsr358384	S24928281	Traveling	P22	EBIRD	600	10.000		1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS460230439	2017-01-25 06:50:59	8242	species	Eurasian Scops-Owl	Otus scops			1				Turkey	TR	Adana	TR-01							Pozanti (area)	L3891943	P	37.4193221	34.8875999	1983-05-29	07:30:00	obsr358384	S24928281	Traveling	P22	EBIRD	600	10.000		1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS340866685	2017-01-25 06:50:07	31339	species	European Serin	Serinus serinus			30				Turkey	TR	Adana	TR-01							Pozanti (area)	L3891943	P	37.4193221	34.8875999	1983-05-29	07:30:00	obsr358384	S24928281	Traveling	P22	EBIRD	600	10.000		1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS340866683	2017-01-25 06:50:07	1952	species	European Turtle-Dove	Streptopelia turtur			X				Turkey	TR	Adana	TR-01							Pozanti (area)	L3891943	P	37.4193221	34.8875999	1983-05-29	07:30:00	obsr358384	S24928281	Traveling	P22	EBIRD	600	10.000		1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS340866678	2017-01-25 06:50:07	21241	issf	Great Tit	Parus major	Great Tit (Great)	Parus major [major Group]	X				Turkey	TR	Adana	TR-01							Pozanti (area)	L3891943	P	37.4193221	34.8875999	1983-05-29	07:30:00	obsr358384	S24928281	Traveling	P22	EBIRD	600	10.000		1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS340866681	2017-01-25 06:50:07	25898	species	Krüper's Nuthatch	Sitta krueperi			5				Turkey	TR	Adana	TR-01							Pozanti (area)	L3891943	P	37.4193221	34.8875999	1983-05-29	07:30:00	obsr358384	S24928281	Traveling	P22	EBIRD	600	10.000		1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS545873554	2017-10-31 18:37:46	7378	species	Bearded Vulture	Gypaetus barbatus			1				Turkey	TR	Adana	TR-01							Taurus Mountains	L6429687	P	37.5395662	34.9875498	1983-05-14		obsr178480	S40235892	Historical	P62	EBIRD				8	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS545711826	2017-10-30 23:29:35	8589	species	Little Owl	Athene noctua			1				Turkey	TR	Adana	TR-01							Adana-Tuscu road	L6427983	P	37.0025778	35.5583239	1983-05-09		obsr178480	S40223352	Historical	P62	EBIRD				8	0		0	1	0		several stops , rocky ravine , olive orchards		
URN:CornellLabOfOrnithology:EBIRD:OBS340866680	2017-01-25 06:50:07	24206	issf	Long-tailed Tit	Aegithalos caudatus	Long-tailed Tit (alpinus Group)	Aegithalos caudatus [alpinus Group]	3				Turkey	TR	Adana	TR-01							Pozanti (area)	L3891943	P	37.4193221	34.8875999	1983-05-29	07:30:00	obsr358384	S24928281	Traveling	P22	EBIRD	600	10.000		1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS340866696	2017-01-25 06:50:07	20226	species	Masked Shrike	Lanius nubicus			10				Turkey	TR	Adana	TR-01							Pozanti (area)	L3891943	P	37.4193221	34.8875999	1983-05-29	07:30:00	obsr358384	S24928281	Traveling	P22	EBIRD	600	10.000		1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS340866694	2017-01-25 06:50:07	27332	species	Mistle Thrush	Turdus viscivorus			X				Turkey	TR	Adana	TR-01							Pozanti (area)	L3891943	P	37.4193221	34.8875999	1983-05-29	07:30:00	obsr358384	S24928281	Traveling	P22	EBIRD	600	10.000		1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS340866695	2017-01-25 06:50:07	7846	species	Northern Goshawk	Accipiter gentilis			1				Turkey	TR	Adana	TR-01							Pozanti (area)	L3891943	P	37.4193221	34.8875999	1983-05-29	07:30:00	obsr358384	S24928281	Traveling	P22	EBIRD	600	10.000		1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS340866689	2017-01-25 06:50:07	31501	species	Ortolan Bunting	Emberiza hortulana			X				Turkey	TR	Adana	TR-01							Pozanti (area)	L3891943	P	37.4193221	34.8875999	1983-05-29	07:30:00	obsr358384	S24928281	Traveling	P22	EBIRD	600	10.000		1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS340866676	2017-01-25 06:50:07	31269	species	Red Crossbill	Loxia curvirostra			6				Turkey	TR	Adana	TR-01							Pozanti (area)	L3891943	P	37.4193221	34.8875999	1983-05-29	07:30:00	obsr358384	S24928281	Traveling	P22	EBIRD	600	10.000		1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS340866687	2017-01-25 06:50:07	31463	species	Rock Bunting	Emberiza cia			1				Turkey	TR	Adana	TR-01							Pozanti (area)	L3891943	P	37.4193221	34.8875999	1983-05-29	07:30:00	obsr358384	S24928281	Traveling	P22	EBIRD	600	10.000		1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS340866679	2017-01-25 06:50:07	27688	species	Spotted Flycatcher	Muscicapa striata			2				Turkey	TR	Adana	TR-01							Pozanti (area)	L3891943	P	37.4193221	34.8875999	1983-05-29	07:30:00	obsr358384	S24928281	Traveling	P22	EBIRD	600	10.000		1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS545711825	2017-10-30 23:29:35	10778	species	Syrian Woodpecker	Dendrocopos syriacus			2				Turkey	TR	Adana	TR-01							Adana-Tuscu road	L6427983	P	37.0025778	35.5583239	1983-05-09		obsr178480	S40223352	Historical	P62	EBIRD				8	0		0	1	0		several stops , rocky ravine , olive orchards		
URN:CornellLabOfOrnithology:EBIRD:OBS545711823	2017-10-30 23:29:35	30598	species	Tawny Pipit	Anthus campestris			3				Turkey	TR	Adana	TR-01							Adana-Tuscu road	L6427983	P	37.0025778	35.5583239	1983-05-09		obsr178480	S40223352	Historical	P62	EBIRD				8	0		0	1	0		several stops , rocky ravine , olive orchards		
URN:CornellLabOfOrnithology:EBIRD:OBS545711827	2017-10-30 23:29:35	23558	species	White-spectacled Bulbul	Pycnonotus xanthopygos			5				Turkey	TR	Adana	TR-01							Adana-Tuscu road	L6427983	P	37.0025778	35.5583239	1983-05-09		obsr178480	S40223352	Historical	P62	EBIRD				8	0		0	1	0		several stops , rocky ravine , olive orchards		
URN:CornellLabOfOrnithology:EBIRD:OBS99818880	2011-02-09 13:06:12	28467	species	Black Redstart	Phoenicurus ochruros			X				Turkey	TR	Adana	TR-01							Incirlik AFB	L1006543	P	36.9976515	35.4316163	1985-02-26		obsr20528	S6990253	Incidental	P20	EBIRD				1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS99818823	2016-08-11 08:59:06	28467	species	Black Redstart	Phoenicurus ochruros			X				Turkey	TR	Adana	TR-01							Incirlik AFB	L1006543	P	36.9976515	35.4316163	1985-02-25		obsr20528	S6990248	Incidental	P20	EBIRD				1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS99818824	2016-08-11 08:59:06	30732	species	Common Chaffinch	Fringilla coelebs			X				Turkey	TR	Adana	TR-01							Incirlik AFB	L1006543	P	36.9976515	35.4316163	1985-02-25		obsr20528	S6990248	Incidental	P20	EBIRD				1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS99644342	2016-08-11 08:59:06	30732	species	Common Chaffinch	Fringilla coelebs			X				Turkey	TR	Adana	TR-01							Incirlik AFB	L1006543	P	36.9976515	35.4316163	1985-02-24		obsr20528	S6978096	Incidental	P20	EBIRD				1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS99818881	2011-02-09 13:06:12	30732	species	Common Chaffinch	Fringilla coelebs			X				Turkey	TR	Adana	TR-01							Incirlik AFB	L1006543	P	36.9976515	35.4316163	1985-02-26		obsr20528	S6990253	Incidental	P20	EBIRD				1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS99644341	2016-08-11 08:59:06	21828	species	Crested Lark	Galerida cristata			X				Turkey	TR	Adana	TR-01							Incirlik AFB	L1006543	P	36.9976515	35.4316163	1985-02-24		obsr20528	S6978096	Incidental	P20	EBIRD				1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS99818822	2016-08-11 08:59:06	21828	species	Crested Lark	Galerida cristata			X				Turkey	TR	Adana	TR-01							Incirlik AFB	L1006543	P	36.9976515	35.4316163	1985-02-25		obsr20528	S6990248	Incidental	P20	EBIRD				1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS99644262	2016-08-11 08:59:06	21828	species	Crested Lark	Galerida cristata			X				Turkey	TR	Adana	TR-01							Incirlik AFB	L1006543	P	36.9976515	35.4316163	1985-02-22		obsr20528	S6978087	Incidental	P20	EBIRD				1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS99644303	2011-02-09 13:06:12	1968	species	Eurasian Collared-Dove	Streptopelia decaocto			X				Turkey	TR	Adana	TR-01							Incirlik AFB	L1006543	P	36.9976515	35.4316163	1985-02-23		obsr20528	S6978091	Incidental	P20	EBIRD				1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS99644263	2016-08-11 08:59:06	1968	species	Eurasian Collared-Dove	Streptopelia decaocto			X				Turkey	TR	Adana	TR-01							Incirlik AFB	L1006543	P	36.9976515	35.4316163	1985-02-22		obsr20528	S6978087	Incidental	P20	EBIRD				1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS99644349	2016-08-11 08:59:06	1968	species	Eurasian Collared-Dove	Streptopelia decaocto			X				Turkey	TR	Adana	TR-01							Incirlik AFB	L1006543	P	36.9976515	35.4316163	1985-02-24		obsr20528	S6978096	Incidental	P20	EBIRD				1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS99644347	2016-08-11 08:59:06	27357	species	Eurasian Blackbird	Turdus merula			X				Turkey	TR	Adana	TR-01							Incirlik AFB	L1006543	P	36.9976515	35.4316163	1985-02-24		obsr20528	S6978096	Incidental	P20	EBIRD				1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS99818825	2016-08-11 08:59:06	31109	species	European Greenfinch	Chloris chloris			X				Turkey	TR	Adana	TR-01							Incirlik AFB	L1006543	P	36.9976515	35.4316163	1985-02-25		obsr20528	S6990248	Incidental	P20	EBIRD				1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS99818956	2011-02-09 13:06:12	31109	species	European Greenfinch	Chloris chloris			X				Turkey	TR	Adana	TR-01							Incirlik AFB	L1006543	P	36.9976515	35.4316163	1985-02-28		obsr20528	S6990261	Incidental	P20	EBIRD				1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS99818882	2011-02-09 13:06:12	31109	species	European Greenfinch	Chloris chloris			X				Turkey	TR	Adana	TR-01							Incirlik AFB	L1006543	P	36.9976515	35.4316163	1985-02-26		obsr20528	S6990253	Incidental	P20	EBIRD				1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS99818955	2011-02-09 13:06:12	20549	species	Eurasian Magpie	Pica pica			X				Turkey	TR	Adana	TR-01							Incirlik AFB	L1006543	P	36.9976515	35.4316163	1985-02-27		obsr20528	S6990260	Incidental	P20	EBIRD				1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS99818961	2011-02-09 13:06:12	20549	species	Eurasian Magpie	Pica pica			X				Turkey	TR	Adana	TR-01							Incirlik AFB	L1006543	P	36.9976515	35.4316163	1985-02-28		obsr20528	S6990261	Incidental	P20	EBIRD				1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS99818888	2011-02-09 13:06:12	28122	species	European Robin	Erithacus rubecula			X				Turkey	TR	Adana	TR-01							Incirlik AFB	L1006543	P	36.9976515	35.4316163	1985-02-26		obsr20528	S6990253	Incidental	P20	EBIRD				1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS99644302	2011-02-09 13:06:12	28122	species	European Robin	Erithacus rubecula			X				Turkey	TR	Adana	TR-01							Incirlik AFB	L1006543	P	36.9976515	35.4316163	1985-02-23		obsr20528	S6978091	Incidental	P20	EBIRD				1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS99818830	2016-08-11 08:59:06	28122	species	European Robin	Erithacus rubecula			X				Turkey	TR	Adana	TR-01							Incirlik AFB	L1006543	P	36.9976515	35.4316163	1985-02-25		obsr20528	S6990248	Incidental	P20	EBIRD				1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS99818826	2016-08-11 08:59:06	26739	species	European Starling	Sturnus vulgaris			X				Turkey	TR	Adana	TR-01							Incirlik AFB	L1006543	P	36.9976515	35.4316163	1985-02-25		obsr20528	S6990248	Incidental	P20	EBIRD				1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS99818958	2011-02-09 13:06:12	26739	species	European Starling	Sturnus vulgaris			X				Turkey	TR	Adana	TR-01							Incirlik AFB	L1006543	P	36.9976515	35.4316163	1985-02-28		obsr20528	S6990261	Incidental	P20	EBIRD				1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS99818883	2011-02-09 13:06:12	26739	species	European Starling	Sturnus vulgaris			X				Turkey	TR	Adana	TR-01							Incirlik AFB	L1006543	P	36.9976515	35.4316163	1985-02-26		obsr20528	S6990253	Incidental	P20	EBIRD				1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS99644259	2016-08-11 08:59:06	26739	species	European Starling	Sturnus vulgaris			X				Turkey	TR	Adana	TR-01							Incirlik AFB	L1006543	P	36.9976515	35.4316163	1985-02-22		obsr20528	S6978087	Incidental	P20	EBIRD				1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS99644343	2016-08-11 08:59:06	26739	species	European Starling	Sturnus vulgaris			X				Turkey	TR	Adana	TR-01							Incirlik AFB	L1006543	P	36.9976515	35.4316163	1985-02-24		obsr20528	S6978096	Incidental	P20	EBIRD				1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS99644299	2011-02-09 13:06:12	26739	species	European Starling	Sturnus vulgaris			X				Turkey	TR	Adana	TR-01							Incirlik AFB	L1006543	P	36.9976515	35.4316163	1985-02-23		obsr20528	S6978091	Incidental	P20	EBIRD				1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS99818950	2011-02-09 13:06:12	26739	species	European Starling	Sturnus vulgaris			X				Turkey	TR	Adana	TR-01							Incirlik AFB	L1006543	P	36.9976515	35.4316163	1985-02-27		obsr20528	S6990260	Incidental	P20	EBIRD				1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS99818952	2011-02-09 13:06:12	20659	species	Hooded Crow	Corvus cornix			X				Turkey	TR	Adana	TR-01							Incirlik AFB	L1006543	P	36.9976515	35.4316163	1985-02-27		obsr20528	S6990260	Incidental	P20	EBIRD				1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS99818828	2016-08-11 08:59:06	30329	species	House Sparrow	Passer domesticus			X				Turkey	TR	Adana	TR-01							Incirlik AFB	L1006543	P	36.9976515	35.4316163	1985-02-25		obsr20528	S6990248	Incidental	P20	EBIRD				1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS99818957	2011-02-09 13:06:12	30329	species	House Sparrow	Passer domesticus			X				Turkey	TR	Adana	TR-01							Incirlik AFB	L1006543	P	36.9976515	35.4316163	1985-02-28		obsr20528	S6990261	Incidental	P20	EBIRD				1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS99644258	2016-08-11 08:59:06	30329	species	House Sparrow	Passer domesticus			X				Turkey	TR	Adana	TR-01							Incirlik AFB	L1006543	P	36.9976515	35.4316163	1985-02-22		obsr20528	S6978087	Incidental	P20	EBIRD				1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS99818949	2011-02-09 13:06:12	30329	species	House Sparrow	Passer domesticus			X				Turkey	TR	Adana	TR-01							Incirlik AFB	L1006543	P	36.9976515	35.4316163	1985-02-27		obsr20528	S6990260	Incidental	P20	EBIRD				1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS99644298	2011-02-09 13:06:12	30329	species	House Sparrow	Passer domesticus			X				Turkey	TR	Adana	TR-01							Incirlik AFB	L1006543	P	36.9976515	35.4316163	1985-02-23		obsr20528	S6978091	Incidental	P20	EBIRD				1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS99818885	2011-02-09 13:06:12	30329	species	House Sparrow	Passer domesticus			X				Turkey	TR	Adana	TR-01							Incirlik AFB	L1006543	P	36.9976515	35.4316163	1985-02-26		obsr20528	S6990253	Incidental	P20	EBIRD				1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS99644345	2016-08-11 08:59:06	30329	species	House Sparrow	Passer domesticus			X				Turkey	TR	Adana	TR-01							Incirlik AFB	L1006543	P	36.9976515	35.4316163	1985-02-24		obsr20528	S6978096	Incidental	P20	EBIRD				1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS99818953	2011-02-09 13:06:12	5627	species	Northern Lapwing	Vanellus vanellus			X				Turkey	TR	Adana	TR-01							Incirlik AFB	L1006543	P	36.9976515	35.4316163	1985-02-27		obsr20528	S6990260	Incidental	P20	EBIRD				1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS99818887	2011-02-09 13:06:12	1798	species	Rock Pigeon	Columba livia			X				Turkey	TR	Adana	TR-01							Incirlik AFB	L1006543	P	36.9976515	35.4316163	1985-02-26		obsr20528	S6990253	Incidental	P20	EBIRD				1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS99818951	2011-02-09 13:06:12	1798	species	Rock Pigeon	Columba livia			X				Turkey	TR	Adana	TR-01							Incirlik AFB	L1006543	P	36.9976515	35.4316163	1985-02-27		obsr20528	S6990260	Incidental	P20	EBIRD				1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS99644261	2016-08-11 08:59:06	27336	species	Song Thrush	Turdus philomelos			X				Turkey	TR	Adana	TR-01							Incirlik AFB	L1006543	P	36.9976515	35.4316163	1985-02-22		obsr20528	S6978087	Incidental	P20	EBIRD				1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS99818827	2016-08-11 08:59:06	27336	species	Song Thrush	Turdus philomelos			X				Turkey	TR	Adana	TR-01							Incirlik AFB	L1006543	P	36.9976515	35.4316163	1985-02-25		obsr20528	S6990248	Incidental	P20	EBIRD				1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS99644344	2016-08-11 08:59:06	27336	species	Song Thrush	Turdus philomelos			X				Turkey	TR	Adana	TR-01							Incirlik AFB	L1006543	P	36.9976515	35.4316163	1985-02-24		obsr20528	S6978096	Incidental	P20	EBIRD				1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS99818884	2011-02-09 13:06:12	27336	species	Song Thrush	Turdus philomelos			X				Turkey	TR	Adana	TR-01							Incirlik AFB	L1006543	P	36.9976515	35.4316163	1985-02-26		obsr20528	S6990253	Incidental	P20	EBIRD				1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS99818959	2011-02-09 13:06:12	27336	species	Song Thrush	Turdus philomelos			X				Turkey	TR	Adana	TR-01							Incirlik AFB	L1006543	P	36.9976515	35.4316163	1985-02-28		obsr20528	S6990261	Incidental	P20	EBIRD				1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS99644301	2011-02-09 13:06:12	27336	species	Song Thrush	Turdus philomelos			X				Turkey	TR	Adana	TR-01							Incirlik AFB	L1006543	P	36.9976515	35.4316163	1985-02-23		obsr20528	S6978091	Incidental	P20	EBIRD				1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS99644260	2016-08-11 08:59:06	30509	species	White Wagtail	Motacilla alba			X				Turkey	TR	Adana	TR-01							Incirlik AFB	L1006543	P	36.9976515	35.4316163	1985-02-22		obsr20528	S6978087	Incidental	P20	EBIRD				1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS99818886	2011-02-09 13:06:12	30509	species	White Wagtail	Motacilla alba			X				Turkey	TR	Adana	TR-01							Incirlik AFB	L1006543	P	36.9976515	35.4316163	1985-02-26		obsr20528	S6990253	Incidental	P20	EBIRD				1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS99644348	2016-08-11 08:59:06	30509	species	White Wagtail	Motacilla alba			X				Turkey	TR	Adana	TR-01							Incirlik AFB	L1006543	P	36.9976515	35.4316163	1985-02-24		obsr20528	S6978096	Incidental	P20	EBIRD				1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS99644300	2011-02-09 13:06:12	30509	species	White Wagtail	Motacilla alba			X				Turkey	TR	Adana	TR-01							Incirlik AFB	L1006543	P	36.9976515	35.4316163	1985-02-23		obsr20528	S6978091	Incidental	P20	EBIRD				1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS99818960	2011-02-09 13:06:12	23558	species	White-spectacled Bulbul	Pycnonotus xanthopygos			X				Turkey	TR	Adana	TR-01							Incirlik AFB	L1006543	P	36.9976515	35.4316163	1985-02-28		obsr20528	S6990261	Incidental	P20	EBIRD				1	1		0	1	0				
